run,regime,slots,d_model,dropout,alpha,seed,best_val_loss,epochs_run,all_acc,reg_acc,irr_acc,balanced_acc,reg_n,irr_n,wug_reg,wug_reg_n,wug_irr,wug_irr_n
v20_noslot_d128_dr0p1_a0p25_s1,natural,False,128,0.1,0.25,1,0.14773620693729475,124,0.8346,0.8675,0.2,0.5338,385,20,50,90,0,90
v20_noslot_d128_dr0p1_a0p25_s2,natural,False,128,0.1,0.25,2,0.1308927581860469,114,0.8123,0.8472,0.1053,0.4762,386,19,44,90,0,90
v20_noslot_d128_dr0p1_a0p25_s3,natural,False,128,0.1,0.25,3,0.1261436750109379,163,0.8593,0.8895,0.1875,0.5385,389,16,42,90,1,90
v20_noslot_d128_dr0p1_a0p5_s1,natural,False,128,0.1,0.5,1,0.12072665702838165,111,0.8765,0.9091,0.2,0.5545,385,20,48,90,0,90
v20_noslot_d128_dr0p1_a0p5_s2,natural,False,128,0.1,0.5,2,0.1053889813618018,127,0.8741,0.9119,0.1053,0.5086,386,19,45,90,2,90
v20_noslot_d128_dr0p1_a0p5_s3,natural,False,128,0.1,0.5,3,0.10402854044850056,110,0.8741,0.9075,0.125,0.5162,389,16,46,90,1,90
v20_noslot_d128_dr0p1_a1_s1,natural,False,128,0.1,1.0,1,0.10308139284069721,82,0.9012,0.9351,0.25,0.5925,385,20,45,90,2,90
v20_noslot_d128_dr0p1_a1_s2,natural,False,128,0.1,1.0,2,0.08793044369667768,76,0.8914,0.9301,0.1053,0.5177,386,19,53,90,1,90
v20_noslot_d128_dr0p1_a1_s3,natural,False,128,0.1,1.0,3,0.0842778883390845,119,0.9259,0.9589,0.1875,0.5732,389,16,51,90,2,90
v20_noslot_d128_dr0p1_a2_s1,natural,False,128,0.1,2.0,1,0.08721868034738761,57,0.9185,0.9532,0.3,0.6266,385,20,59,90,0,90
v20_noslot_d128_dr0p1_a2_s2,natural,False,128,0.1,2.0,2,0.07212569772337492,66,0.9136,0.9534,0.1053,0.5293,386,19,50,90,1,90
v20_noslot_d128_dr0p1_a2_s3,natural,False,128,0.1,2.0,3,0.07247341649893385,61,0.9086,0.9486,0.0,0.4743,389,16,56,90,1,90
v20_noslot_d128_dr0p2_a0p25_s1,natural,False,128,0.2,0.25,1,0.10071868764666411,146,0.8938,0.9273,0.25,0.5886,385,20,51,90,2,90
v20_noslot_d128_dr0p2_a0p25_s2,natural,False,128,0.2,0.25,2,0.09298961108120588,190,0.879,0.9171,0.1053,0.5112,386,19,51,90,0,90
v20_noslot_d128_dr0p2_a0p25_s3,natural,False,128,0.2,0.25,3,0.08297521606660806,163,0.9012,0.9357,0.0625,0.4991,389,16,53,90,0,90
v20_noslot_d128_dr0p2_a0p5_s1,natural,False,128,0.2,0.5,1,0.09084239788353443,113,0.9037,0.9429,0.25,0.5964,385,20,48,90,0,90
v20_noslot_d128_dr0p2_a0p5_s2,natural,False,128,0.2,0.5,2,0.06773087590073164,153,0.9185,0.9585,0.1053,0.5319,386,19,48,90,2,90
