run,phase1_epochs,regime,slots,seed,best_val_loss,epochs_run,all_acc,reg_acc,irr_acc,balanced_acc,wug_reg,wug_reg_n,wug_irr,wug_irr_n
v21_baseline_natural_noslot_s1,0,natural,False,1,0.08117587190981095,127,0.9086,0.9429,0.3,0.6214,51,90,2,90
v21_baseline_natural_noslot_s2,0,natural,False,2,0.06644346844404936,149,0.9136,0.9508,0.1579,0.5543,54,90,0,90
v21_baseline_natural_noslot_s3,0,natural,False,3,0.05626291011531766,170,0.921,0.9512,0.1875,0.5693,50,90,0,90
v21_baseline_natural_slots_s1,0,natural,True,1,0.09611789910839154,107,0.9185,0.9532,0.25,0.6016,52,90,1,90
v21_baseline_natural_slots_s2,0,natural,True,2,0.06470224017707202,122,0.9062,0.943,0.1579,0.5504,51,90,0,90
v21_baseline_natural_slots_s3,0,natural,True,3,0.06878453765351039,140,0.9235,0.9614,0.0625,0.512,49,90,4,90
v21_baseline_oversample_noslot_s1,0,oversample,False,1,0.10943750707575908,96,0.9062,0.9403,0.25,0.5951,49,90,5,90
v21_baseline_oversample_noslot_s2,0,oversample,False,2,0.06416149552051838,140,0.9012,0.9352,0.2105,0.5729,46,90,5,90
v21_baseline_oversample_noslot_s3,0,oversample,False,3,0.06827524469162409,139,0.9086,0.9383,0.3125,0.6254,50,90,3,90
v21_baseline_oversample_slots_s1,0,oversample,True,1,0.1189875417890457,69,0.8642,0.8935,0.35,0.6218,40,90,5,90
v21_baseline_oversample_slots_s2,0,oversample,True,2,0.08904469962446736,96,0.8938,0.9352,0.1053,0.5202,43,90,1,90
v21_baseline_oversample_slots_s3,0,oversample,True,3,0.09344970850417247,90,0.8938,0.9306,0.125,0.5278,45,90,5,90
v21_p1100_natural_noslot_s1,100,natural,False,1,0.14926929542651543,200,0.8025,0.8312,0.2,0.5156,47,90,1,90
v21_p1100_natural_noslot_s2,100,natural,False,2,0.14772310623755822,200,0.7778,0.8109,0.0526,0.4318,44,90,1,90
v21_p1100_natural_noslot_s3,100,natural,False,3,0.1391357298080738,190,,,,,,,,
v21_p1100_natural_slots_s1,100,natural,True,1,0.15298204811719748,200,0.8,0.8338,0.2,0.5169,46,90,1,90
v21_p1100_natural_slots_s2,100,natural,True,2,0.13773214988983595,200,0.7975,0.8342,0.0526,0.4434,39,90,1,90
v21_p1100_natural_slots_s3,100,natural,True,3,0.14051896734879568,200,0.8099,0.8483,0.0,0.4242,47,90,2,90
v21_p1100_oversample_slots_s1,100,oversample,True,1,0.15642041569718948,200,0.8444,0.8753,0.3,0.5877,33,90,8,90
v21_p1100_oversample_slots_s2,100,oversample,True,2,0.12975803934610808,200,0.7728,0.8083,0.1053,0.4568,34,90,6,90
v21_p1100_oversample_slots_s3,100,oversample,True,3,0.12231447547674179,200,0.8494,0.8792,0.25,0.5646,40,90,7,90
v21_p130_natural_noslot_s1,30,natural,False,1,0.09117205211749443,138,0.9062,0.9403,0.25,0.5951,54,90,0,90
v21_p130_natural_noslot_s2,30,natural,False,2,0.06561603511755283,170,0.8963,0.9352,0.1053,0.5202,52,90,1,90
v21_p130_natural_noslot_s3,30,natural,False,3,0.06381480732502845,182,0.9136,0.9486,0.0625,0.5055,53,90,0,90
v21_p130_natural_slots_s1,30,natural,True,1,0.09424670914617869,186,0.916,0.9481,0.3,0.624,54,90,0,90
v21_p130_natural_slots_s2,30,natural,True,2,0.07604266051203012,163,0.9259,0.9637,0.1053,0.5345,52,90,1,90
v21_p130_natural_slots_s3,30,natural,True,3,0.06372542772442102,168,0.9259,0.9563,0.125,0.5406,51,90,1,90
v21_p130_oversample_noslot_s1,30,oversample,False,1,0.0982516732854912,149,0.9062,0.9403,0.3,0.6201,45,90,3,90
v21_p130_oversample_noslot_s2,30,oversample,False,2,0.0837278702797798,122,0.8815,0.9145,0.2105,0.5625,43,90,0,90
v21_p130_oversample_noslot_s3,30,oversample,False,3,0.07616761957223599,138,0.9185,0.9434,0.4375,0.6905,49,90,1,90
v21_p130_oversample_slots_s1,30,oversample,True,1,0.12254928467938533,113,0.916,0.9506,0.25,0.6003,44,90,4,90
v21_p130_oversample_slots_s2,30,oversample,True,2,0.08413948011226378,114,0.884,0.9249,0.0526,0.4888,44,90,2,90
v21_p130_oversample_slots_s3,30,oversample,True,3,0.09771117109518784,103,0.8988,0.928,0.3125,0.6203,41,90,2,90
v21_p160_natural_noslot_s1,60,natural,False,1,0.10173953926334015,188,0.8914,0.9247,0.25,0.5873,52,90,0,90
v21_p160_natural_noslot_s2,60,natural,False,2,0.09188394205501446,195,0.884,0.9249,0.0526,0.4888,51,90,0,90
v21_p160_natural_noslot_s3,60,natural,False,3,0.08197371633006977,200,0.9086,0.9434,0.0625,0.503,48,90,2,90
v21_p160_natural_slots_s1,60,natural,True,1,0.11806273145171312,160,0.8741,0.9065,0.25,0.5782,50,90,3,90
v21_p160_natural_slots_s2,60,natural,True,2,0.0999607968215759,174,0.8469,0.8834,0.1053,0.4943,45,90,1,90
v21_p160_natural_slots_s3,60,natural,True,3,0.09038771932514814,198,0.8938,0.9306,0.0,0.4653,46,90,1,90
v21_p160_oversample_noslot_s1,60,oversample,False,1,0.11989537511880581,167,0.8889,0.9143,0.3,0.6071,41,90,2,90
v21_p160_oversample_noslot_s2,60,oversample,False,2,0.09183378266887023,153,0.842,0.8808,0.1579,0.5194,42,90,0,90
v21_p160_oversample_noslot_s3,60,oversample,False,3,0.0807628188138971,155,0.8889,0.9152,0.3125,0.6138,43,90,6,90
v21_p160_oversample_slots_s1,60,oversample,True,1,0.14081118957927594,148,0.9111,0.9429,0.3,0.6214,46,90,4,90
v21_p160_oversample_slots_s2,60,oversample,True,2,0.10589558194176509,159,0.916,0.9534,0.1053,0.5293,39,90,5,90
v21_p160_oversample_slots_s3,60,oversample,True,3,0.09578815890619388,173,0.8889,0.9254,0.1875,0.5565,38,90,5,90
